,num_cases,total_time,b,ObjVal,x_sol,Ins,N
0,5000,14.919548034667969,10,313.29583617128384,[  0   1   3  38  39  41 116  91  14  81],1,30
1,5000,16.198532819747925,10,192.90467661242877,[  1   2  19  90  91  14  86 128  95  80],2,30
2,5000,32.85143303871155,10,281.333248778511,[  0   2  30  31  46  51  82 109  53  54],5,30
3,5000,6.322839021682739,10,164.32982469663403,[  0   1  91  92  93  94  95  89 111 128],6,30
4,5000,7.526699066162109,10,163.00000000000824,[  0   1   2   3   5   6  11  23 121 102],7,30
5,5000,5.463310241699219,10,224.4775292985298,[  0   2   8   9 102  31  55  57  59  87],8,30
6,5000,5.932359933853149,10,131.4155930917418,[  0   2   3   4   5   7 108 109  67  68],9,30
7,5000,6.451761960983276,10,209.61954077198257,[  0   6   7   1   3  75  29  25  15 105],10,30
8,5000,40.32977366447449,10,260.2283279844483,[ 0  3 53 66 67 21 23 45 65 77],11,30
9,5000,19.713755130767822,10,416.9999999999829,[  0   1   2  79  80 129  12  46  52  78],12,30
10,5000,52.633131980896,10,205.0600524145315,[  0   8 105  13  57  15  86  87 134 117],4,30
11,5000,32.240849018096924,10,360.721732224652,[  1  46  73  74  85  81 102 119 125 113],20,30
12,5000,16.864893913269043,10,242.09532623101583,[  0   4   9 119  58 115 123 128  84 142],83,30
13,5000,8.488313913345337,10,214.9980345434318,[  0   2   3   4  18  19  46  47 121  30],89,30
14,5000,49.33060908317566,10,243.97704977741392,[  0   1  28  43 119 110 103  78  57  51],107,30
15,5000,16.664952993392944,10,448.06942440851464,[  0   1   2   3  28  98  43  57 117  55],166,30
16,5000,11.228286981582642,10,293.6300778083669,[  0   1 103 105 111  98  86  67  68  80],172,30
17,5000,132.6758358478546,10,285.7435079665389,[ 1 77  3 18 19 31 11 36 99 71],174,30
18,5000,18.92627501487732,10,299.5440144581547,[  1   4  23  30  65   8 110 134 116 128],200,30
19,5000,35.117223262786865,10,213.80956263115417,[  3  48  49 101 118  38  53 122  34  67],241,30
20,5000,25.35196280479431,10,257.0185898415258,[  1   2   3  29  30  43  88  91 110  69],3,30
21,5000,18.252696752548218,10,166.26897369780986,[  1   7  16  17  25  69 106 131  86 136],35,30
22,5000,70.34628224372864,10,221.45596503197768,[  2  11  34 121  31  32 102  43  44 132],36,30
23,5000,12.544695138931274,10,324.8358517813225,[  1  75  86 121 130 145  93  95 111  63],37,30
24,5000,10.449791193008425,10,200.22993382408143,[ 1  2  9 27 37 42 84 15 75 59],52,30
25,5000,21.716049909591675,10,314.397988817661,[  0   1  24  26 105  66  46  52  74  98],63,30
26,5000,43.52546191215515,10,449.1603022242036,[ 0  1 61 62 63  7 96 36 60 19],64,30
27,5000,19.47551107406616,10,257.4206296362521,[  1  31  32 109  45  71  60  22 103  97],150,30
28,5000,52.64635968208313,10,266.3135149339768,[  9  23  28  77  45  17  80 105 114  39],282,30
29,5000,40.00645303726196,10,323.165727175596,[  0   4  62  39   6 130  15  34  36  38],319,30
