N50_d30; Ins 13; Time 3.001953125; MP_obj 215.0; LB 0.0; x_now [1, 2, 3, 63, 405]; Cells 2/2; Iter 1
N50_d30; Ins 13; Time 3.273822069168091; MP_obj 215.0; LB 0.0; x_now [1, 2, 3, 63, 405]; Cells 4/4; Iter 2
N50_d30; Ins 13; Time 3.4269351959228516; MP_obj 215.0; LB 0.0; x_now [1, 2, 3, 63, 405]; Cells 8/8; Iter 3
N50_d30; Ins 13; Time 3.598220109939575; MP_obj 215.0; LB 0.0; x_now [1, 63, 127, 405, 730]; Cells 16/16; Iter 4
N50_d30; Ins 13; Time 3.9107890129089355; MP_obj 215.0; LB 0.0; x_now [1, 63, 127, 405, 730]; Cells 32/32; Iter 5
N50_d30; Ins 13; Time 4.273547172546387; MP_obj 214.6640625; LB 0.0; x_now [1, 63, 127, 334, 405]; Cells 64/64; Iter 6
N50_d30; Ins 13; Time 4.838510036468506; MP_obj 214.4765625; LB 0.0; x_now [1, 63, 127, 334, 405]; Cells 128/128; Iter 7
N50_d30; Ins 13; Time 5.840456008911133; MP_obj 214.1015625; LB 0.0; x_now [1, 63, 127, 334, 405]; Cells 256/256; Iter 8
N50_d30; Ins 13; Time 7.756402015686035; MP_obj 213.9013671875; LB 0.0; x_now [1, 3, 63, 127, 405]; Cells 512/512; Iter 9
N50_d30; Ins 13; Time 11.34967303276062; MP_obj 213.86669921875; LB 0.0; x_now [1, 3, 63, 127, 405]; Cells 1024/1024; Iter 10
N50_d30; Ins 13; Time 18.396785020828247; MP_obj 213.7220458984375; LB 0.0; x_now [1, 3, 63, 127, 405]; Cells 2048/2048; Iter 11
N50_d30; Ins 13; Time 32.453778982162476; MP_obj 213.67031860351562; LB 0.0; x_now [1, 3, 63, 127, 405]; Cells 4096/4096; Iter 12
N50_d30; Ins 13; Time 60.57541608810425; MP_obj 213.6026153564453; LB 0.0523681640625; x_now [1, 3, 63, 127, 405]; Cells 8190/8191; Iter 13
N50_d30; Ins 13; Time 116.81535601615906; MP_obj 213.52472496032715; LB 0.4454345703125; x_now [1, 3, 63, 127, 405]; Cells 16350/16366; Iter 14
N50_d30; Ins 13; Time 231.49533700942993; MP_obj 213.4457483291626; LB 1.7166213989257812; x_now [1, 3, 63, 127, 405]; Cells 32506/32619; Iter 15
N50_d30; Ins 13; Time 472.62881803512573; MP_obj 213.35533475875854; LB 4.501590728759766; x_now [1, 3, 63, 127, 405]; Cells 64162/64700; Iter 16
N50_d30; Ins 13; Time 482.469101190567; MP_obj 213.24166536331177; LB 4.501590728759766; x_now [1, 63, 127, 372, 405]; Cells 64700/64700; Iter 17
