1;0.40462303161621094;10;295.0;[  0   1   2   3   4   5   6  12 167 178];1;1
2;0.8423097133636475;10;295.0;[  0   4  12  66  67 108 116 131 167 178];1;1
3;1.3068408966064453;10;295.0;[  0   4  12  66  67 108 116 131 167 178];2;2
4;1.8387229442596436;10;295.0;[  0   4  12  66  67 108 116 131 167 178];4;4
5;2.466782808303833;10;295.0;[  0   4  12  67 128 167 178 179 181 182];8;8
6;2.924424886703491;10;295.0;[  0   4  12  18  67 119 128 167 178 180];8;8
7;3.7609667778015137;10;295.0;[  0   4  12  18  66  67  92 128 167 178];16;16
8;4.955856800079346;10;295.0;[  0   4  12  18  66  67  92 128 167 178];30;31
9;6.70649790763855;10;295.0;[  0   4   6  12  18  67  92 128 167 178];46;54
10;7.2572736740112305;10;295.0;[  0   4   6  12  66  67  92 128 167 178];54;54
11;9.926820039749146;10;294.9716796875;[  0   4  12  18  66  67  79 128 167 178];68;88
12;14.073595762252808;10;294.9541015625;[  0   4  12  18  66 105 116 128 167 178];110;143
13;19.974702835083008;10;294.94677734375;[  0   4  12  18  66  67 105 128 167 178];146;216
14;28.45844292640686;10;294.93255615234375;[  0   4  12  18  66  67 105 128 167 178];198;315
15;40.42496585845947;10;294.8996276855469;[  0   4  12  18  66  67 105 128 167 178];266;448
16;56.59091877937317;10;294.8359031677246;[  0   4  12  18  66  67  92 128 167 178];354;625
17;57.73056101799011;10;294.8646354675293;[  0   4  12  18  66  67 105 128 167 178];625;625
18;81.13051271438599;10;294.84765434265137;[  0   4  12  18  66  67 105 128 167 178];502;876
19;112.86303997039795;10;294.82852363586426;[  0   4  12  18  66  67  92 128 167 178];654;1203
20;114.74131679534912;10;294.82559394836426;[  0   4  12  18  66  67  92 128 167 178];1203;1203
21;172.0167407989502;10;294.83367824554443;[  0   4  12  18  66 105 128 131 167 178];1702;2054
22;180.73919677734375;10;294.83367824554443;[  0   4  12  18  66  67 105 128 167 178];2054;2054
23;258.1973099708557;10;294.8272271156311;[  0   4  12  18  66  67 105 128 167 178];1442;2775
24;361.4530599117279;10;294.8233581185341;[  0   4  12  18  66  67 105 128 167 178];1800;3675
25;496.01728677749634;10;294.8213424384594;[  0   4  12  18  66  67 105 128 167 178];2182;4766
26;670.5772280693054;10;294.82016772031784;[  0   4  12  18  66  67 105 128 167 178];2732;6132
27;897.776654958725;10;294.8194452896714;[  0   4  12  18  66  67 105 128 167 178];3450;7857
28;1192.8742198944092;10;294.8190288282931;[  0   4  12  18  66  67 105 128 167 178];4326;10020
29;1573.8872077465057;10;294.81877424009144;[  0   4  12  18  66  67 105 128 167 178];5388;12714
30;2070.659446001053;10;294.81863129045814;[  0   4  12  18  66  67 105 128 167 178];6692;16060
31;2722.2375888824463;10;294.81854881858453;[  0   4  12  18  66  67 105 128 167 178];8316;20218
32;3575.548696041107;10;294.8185010580346;[  0   4  12  18  66  67 105 128 167 178];10428;25432
