I;1;0.0002510547637939453;9.5367431640625e-07;0;0.005280733108520508;10;1000000.0;0;[0 1 2 3 4 5 6 7 8 9];1;1;0;0;0
I;2;0.0010581016540527344;9.5367431640625e-07;0;0.022960901260375977;10;190.0;0;[  0   1   2   3   4   5   6  64  87 239];1;1;0;0;0
I;3;0.0008029937744140625;0.14216876029968262;0.0009589195251464844;0.0409998893737793;10;190.0;148.75;[  0   1   2  60  63  64  87 224 239 346];2;2;0;0;0
I;4;0.0006589889526367188;0.21756219863891602;0.014452934265136719;0.1890566349029541;10;190.0;162.0;[  0   1   2  60  63  64  87 224 239 346];4;4;0;0;0
I;5;0.0008170604705810547;0.49602508544921875;0.014183998107910156;0.4145827293395996;10;190.0;164.4375;[  1  60  63  64  87 224 239 261 346 388];7;7;0;0;0
I;6;0.0010230541229248047;0.0;0;0.9246819019317627;10;190.0;164.4375;[  1  60  64  87 239 261 314 346 387 388];7;7;0;0;0
I;7;0.002863168716430664;9.5367431640625e-07;0;0.9593048095703125;10;190.0;164.4375;[  1  63  64  87 135 239 301 315 324 346];7;7;0;0;0
I;8;0.0022079944610595703;7.152557373046875e-07;0;0.9935297966003418;10;190.0;164.4375;[  1  60  64  87 135 143 214 239 324 346];7;7;0;0;0
I;9;0.0031659603118896484;1.1920928955078125e-06;0;1.0300638675689697;10;190.0;164.4375;[  1  60  64  87 239 261 301 315 324 346];7;7;0;0;0
I;10;0.002524852752685547;9.5367431640625e-07;0;1.0641248226165771;10;190.0;164.4375;[  1  60  64  87 210 224 239 314 358 380];7;7;0;0;0
I;11;0.0026290416717529297;0.877042293548584;0.015880107879638672;1.099207878112793;10;190.0;164.4375;[  1  60  64  70  87 193 224 239 261 314];13;13;0;0;0
I;12;0.0022101402282714844;2.1457672119140625e-06;0;1.9988927841186523;10;190.0;164.4375;[  1  64  70  87 224 239 261 315 324 346];13;13;0;0;0
I;13;0.002604246139526367;9.5367431640625e-07;0;2.0493886470794678;10;190.0;164.4375;[  1  64  87 193 224 239 261 313 315 346];13;13;0;0;0
I;14;0.002541065216064453;9.5367431640625e-07;0;2.0995779037475586;10;190.0;164.4375;[  1  64  68  70  87 224 239 261 293 346];13;13;0;0;0
I;15;0.0024988651275634766;1.784726858139038;0.020292997360229492;2.152200937271118;10;190.0;186.6416015625;[  1  64  87 224 239 261 301 313 314 346];26;26;0;0;0
I;16;0.002454042434692383;0.0;0;3.9771227836608887;10;190.0;186.6416015625;[  1  64  68  87 193 224 239 261 301 346];26;26;0;0;0
I;17;0.0026340484619140625;9.5367431640625e-07;0;4.063536882400513;10;190.0;186.6416015625;[  1  64  68  87 193 224 239 261 314 346];26;26;0;0;0
I;18;0.00441288948059082;0.680131196975708;0.010355949401855469;4.169274806976318;10;189.9072265625;186.9306640625;[  1  64  87 224 239 261 301 313 314 346];33;33;0;0;0
I;19;0.00021386146545410156;0.7918872833251953;0.024677038192749023;4.916720867156982;10;189.9072265625;187.2041015625;[  1  64  87 224 239 261 301 313 314 346];41;41;0;0;0
I;20;0.0039942264556884766;0.7243528366088867;0.026123046875;5.796598672866821;10;189.8876953125;187.4892578125;[  1  64  87 224 239 261 301 313 314 346];48;48;0;0;0
I;21;0.0039517879486083984;0.6930420398712158;0.017045974731445312;6.628082990646362;10;189.8779296875;187.6103515625;[  1  64  87 224 239 261 301 313 314 346];55;55;0;0;0
I;22;0.00021505355834960938;0.603874921798706;0.018503904342651367;7.442271947860718;10;189.8779296875;187.727294921875;[  1  64  87 224 239 261 301 313 314 346];61;61;0;0;0
I;23;0.0002162456512451172;0.5162801742553711;0.01982903480529785;8.183426856994629;10;189.8779296875;187.860107421875;[  1  64  87 224 239 261 301 313 314 346];66;66;0;0;0
I;24;0.00019812583923339844;0.2329390048980713;0.020682334899902344;8.850940942764282;10;189.8779296875;187.922607421875;[  1  64  87 224 239 261 301 313 314 346];68;68;0;0;0
I;25;0.00020384788513183594;0.12993788719177246;0.021359920501708984;9.270748853683472;10;189.8779296875;187.953857421875;[  1  64  87 224 239 261 301 313 314 346];69;69;0;0;0
I;26;0.00020360946655273438;0.1313648223876953;0.021706104278564453;9.569787740707397;10;189.8779296875;187.985107421875;[  1  64  87 224 239 261 301 313 314 346];0;70;0;0;0
C;26;0.00020360946655273438;0.1313648223876953;0.021706104278564453;9.876059770584106;10;189.8779296875;187.985107421875;[  1  64  87 224 239 261 301 313 314 346];0;70;0;0;0
