I;1;7.772445678710938e-05;0.0;0;0.000396728515625;10;1000000.0;0.0;[0 1 2 3 4 5 6 7 8 9];1;1
I;2;0.00039696693420410156;0.0;0;0.006864786148071289;10;387.0;0.0;[  0   1   2   3   4   5  56 109 314 329];1;1
I;3;0.0003247261047363281;1.1920928955078125e-06;0;0.01335763931274414;10;387.0;0.0;[  0   1   2  56  90  92 109 154 314 329];1;1
I;4;0.00080108642578125;0.0;0;0.01990485191345215;10;370.0;0.0;[  1   3  56  90  92 109 154 203 239 329];1;1
I;5;0.0006389617919921875;0.0;0;0.026273012161254883;10;355.0;0.0;[  0   1   3  56  90  92  95 109 203 329];1;1
I;6;0.0031011104583740234;0.0;0;0.03543663024902344;10;355.0;0.0;[  0   1   3  90  92  95 109 202 203 329];1;1
I;7;0.0007171630859375;9.5367431640625e-07;0;0.04195284843444824;10;355.0;0.0;[  0   1  90  92  95 109 154 203 239 329];1;1
I;8;0.0010917186737060547;0.0;0;0.04950571060180664;10;355.0;0.0;[  0   1   2   3  90  95 109 154 203 329];1;1
I;9;0.0012941360473632812;0.0;0;0.056656837463378906;10;351.0;0.0;[  0  92  95 109 110 154 203 239 292 329];1;1
I;10;0.0012710094451904297;0.046568870544433594;0.00029587745666503906;0.06396174430847168;10;351.0;269.0;[  0   2   3  92  95 109 110 154 203 329];2;2
I;11;5.459785461425781e-05;0.06622004508972168;0.000865936279296875;0.11223387718200684;10;351.0;275.25;[  0   2   3  92  95 109 110 154 203 329];4;4
I;12;9.822845458984375e-05;0.12812304496765137;0.0016748905181884766;0.1809709072113037;10;351.0;287.375;[  0   2   3  92  95 109 110 154 203 329];8;8
I;13;5.91278076171875e-05;0.2665290832519531;0.007385730743408203;0.3129239082336426;10;351.0;293.96875;[  0   2   3  92  95 109 110 154 203 329];16;16
I;14;0.0014789104461669922;0.0;0.007385730743408203;0.5879838466644287;10;351.0;293.96875;[  0   3  92  95 109 110 154 203 292 329];16;16
I;15;0.0016188621520996094;0.0;0.007385730743408203;0.6064209938049316;10;350.0;293.96875;[  0  92  95 109 110 154 203 238 292 329];16;16
I;16;0.0037660598754882812;0.0;0.007385730743408203;0.6275157928466797;10;349.375;293.96875;[  0   2  92  95 109 110 154 203 314 329];16;16
I;17;0.004090309143066406;0.7226688861846924;0.014631509780883789;0.6485848426818848;10;349.375;293.53125;[  0   3  92  95 109 110 154 174 203 329];32;32
I;18;0.0043048858642578125;0.0;0.014631509780883789;1.38873291015625;10;348.6875;293.53125;[  0   1  90  95 109 154 203 292 314 329];32;32
I;19;0.005874156951904297;9.5367431640625e-07;0.014631509780883789;1.4238307476043701;10;348.5;293.53125;[  0  92  95 109 110 154 174 203 238 329];32;32
I;20;0.003747224807739258;0.0;0.014631509780883789;1.458899974822998;10;348.375;293.53125;[  0   1   3  92  95 109 154 203 292 329];32;32
I;21;0.008784294128417969;0.0;0.014631509780883789;1.496656894683838;10;348.375;293.53125;[  0   3  90  95 109 110 154 203 292 329];32;32
I;22;0.009640932083129883;1.4600589275360107;0.0245053768157959;1.5348789691925049;10;348.375;300.7578125;[  0   3  92  95 109 110 154 174 203 329];64;64
I;23;0.007769107818603516;0.0;0.0245053768157959;3.0281708240509033;10;347.34375;300.7578125;[  0   2  90  95 109 110 154 203 238 329];64;64
I;24;0.007208824157714844;9.5367431640625e-07;0.0245053768157959;3.0879528522491455;10;347.34375;300.7578125;[  0  90  95 109 110 154 203 292 314 329];64;64
