I;1;0.04700207710266113;1.1920928955078125e-06;0.4090580940246582;10;213.0;0;[  0   1   2   3   4   5   6 132 140 216];1;1
I;2;0.054877281188964844;0.11190390586853027;0.846595287322998;10;213.0;128.25;[  3 100 132 140 206 207 208 209 210 216];2;2
I;3;0.041150808334350586;0.18900012969970703;1.383538007736206;10;213.0;155.5;[  3 100 132 140 206 207 208 209 210 216];4;4
I;4;0.053209781646728516;0.4376180171966553;2.0015928745269775;10;202.125;167.09375;[  3   4  61  72  79 100 132 140 159 216];8;8
I;5;0.051560163497924805;0.6618509292602539;2.871821880340576;10;198.53125;171.40625;[  3   4  61  72  79 100 132 140 159 216];16;16
I;6;0.05364489555358887;1.6254990100860596;3.9592621326446533;10;198.0703125;176.875;[  3   4  61  72  79 100 132 140 174 216];30;31
I;7;0.056097984313964844;3.1875603199005127;6.037731885910034;10;198.0703125;178.609375;[  3   4  61  72  82 132 140 147 174 216];58;60
I;8;0.055175065994262695;5.7940638065338135;9.701251983642578;10;197.55078125;184.2529296875;[  3   4  60  72  89 132 140 159 201 216];102;111
I;9;0.05878877639770508;11.330636024475098;16.02366614341736;10;197.5283203125;184.2529296875;[  3   4  60  61  72  89 100 132 140 216];206;214
I;10;0.057919979095458984;1.6689300537109375e-06;27.95202112197876;10;197.5283203125;184.2529296875;[  0   3   4  61  72 100 132 140 201 216];214;214
I;11;0.06380105018615723;19.494549989700317;28.79073214530945;10;197.5283203125;187.85205078125;[  0   3   4 100 119 132 140 159 201 216];344;386
I;12;0.06599593162536621;9.5367431640625e-07;49.05822396278381;10;197.44580078125;187.85205078125;[  3   4  60  61  89 114 132 140 147 216];386;386
I;13;0.07241511344909668;9.5367431640625e-07;50.21765995025635;10;197.42626953125;187.85205078125;[  3   4  60  61  62 132 140 147 159 216];386;386
I;14;0.07234597206115723;34.940205097198486;51.33465909957886;10;197.44189453125;190.5482177734375;[  3   4  60  61 100 132 140 167 201 216];624;698
I;15;0.08509016036987305;1.1920928955078125e-06;87.41302728652954;10;197.44580078125;190.5482177734375;[  0   3   4  60 114 132 140 159 201 216];698;698
I;16;0.09190607070922852;58.55941700935364;89.06602501869202;10;197.44580078125;192.37982177734375;[  3   4  60  61 100 114 132 140 201 216];1010;1203
I;17;0.10968804359436035;98.07181000709534;149.28001403808594;10;197.40298461914062;193.62409210205078;[  3   4  60  61 114 132 140 147 201 216];1642;2024
I;18;0.16745591163635254;9.5367431640625e-07;249.93804717063904;10;197.37004852294922;193.62409210205078;[  0   3   4  60  61 100 132 140 201 216];2024;2024
I;19;0.18615484237670898;9.5367431640625e-07;254.04210710525513;10;197.3611068725586;193.62409210205078;[  0   3   4  60 114 132 140 159 201 216];2024;2024
I;20;0.17686080932617188;151.1523802280426;258.3396141529083;10;197.36083221435547;194.8547248840332;[  0   3   4  60  61 132 140 147 201 216];2388;3218
I;21;0.3208470344543457;9.5367431640625e-07;413.672523021698;10;197.28968048095703;194.8547248840332;[  0   3   4  60  62 132 140 159 201 216];3218;3218
I;22;0.34928202629089355;242.14608001708984;419.93469405174255;10;197.29338836669922;195.4669370651245;[  0   3   4  60  61 132 140 147 201 216];0;5076
C;22;0.34928202629089355;242.14608001708984;667.7027699947357;10;197.29338836669922;195.4669370651245;[  0   3   4  60  61 132 140 147 201 216];0;5076
