1;0.38274097442626953;10;170.0;0;[ 0  1  2  3  4  5  6  7  8 53];1;1
2;0.8236770629882812;10;170.0;0.0;[ 0  1  2  3  4  5  6  7  8 53];2;2
3;1.3073790073394775;10;170.0;85.0;[ 0  1  2  3  4  5  6  7  8 53];2;3
4;1.7985930442810059;10;170.0;123.0;[ 0  1  2  3  4  5  6  7  8 53];2;4
5;2.3273191452026367;10;170.0;146.5;[ 0  1  2  3  4  5  6  7  8 53];2;5
6;2.8671140670776367;10;170.0;157.6875;[ 0  1  2  3  4  5  6  7  8 53];2;6
7;3.458850145339966;10;170.0;163.84375;[ 0  1  2  3  4  5  6  7  8 53];2;7
8;4.060818195343018;10;170.0;166.8515625;[ 0  1  2  3  4  5  6  7  8 53];2;8
9;4.702697992324829;10;170.0;168.42578125;[  0   1   2   3  53  64 123 128 218 239];2;9
9;4.954942941665649;10;170.0;170.0;[  0   1   2   3  53  64 123 128 218 239];0;9
1;0.3982517719268799;10;170.0;0;[ 0  1  2  3  4  5  6  7  8 53];1;1
2;0.8382349014282227;10;170.0;0.0;[ 0  1  2  3  4  5  6  7  8 53];2;2
3;1.3189430236816406;10;170.0;85.0;[ 0  1  2  3  4  5  6  7  8 53];2;3
4;1.8188891410827637;10;170.0;123.0;[ 0  1  2  3  4  5  6  7  8 53];2;4
5;2.342615842819214;10;170.0;146.5;[ 0  1  2  3  4  5  6  7  8 53];2;5
6;2.891278028488159;10;170.0;157.6875;[ 0  1  2  3  4  5  6  7  8 53];2;6
7;3.47296404838562;10;170.0;163.84375;[ 0  1  2  3  4  5  6  7  8 53];2;7
8;4.071062088012695;10;170.0;166.8515625;[ 0  1  2  3  4  5  6  7  8 53];2;8
9;4.721730947494507;10;170.0;168.42578125;[  0   1   2   3  53  64 123 128 218 239];2;9
-1;;4.971246957778931;10;170.0;170.0;[  0   1   2   3  53  64 123 128 218 239];0;9
