1;0.38815808296203613;10;323.0;0;[  0   1   2   3   4   5  42 265 278 345];1;1
2;0.800778865814209;10;323.0;0.0;[  0   1   2  23  38  42 216 265 278 345];1;1
3;1.2156779766082764;10;323.0;0.0;[  0   4  23  42 206 216 217 265 278 345];1;1
4;1.6269800662994385;10;323.0;0.0;[  0   4  23  42 216 265 278 335 345 356];1;1
5;2.0396859645843506;10;323.0;0.0;[  0   4  23  38  42 263 265 278 335 345];1;1
6;2.4614408016204834;10;323.0;0.0;[  0   4  23  38  42 265 278 317 330 345];1;1
7;4.870751142501831;10;323.0;40.375;[  0   4  23  38  42 263 265 278 317 345];14;15
8;11.633387804031372;10;323.0;0.0;[  0   4  38  42 147 216 265 278 330 345];60;60
9;24.76671600341797;10;323.0;291.984375;[  0   4  38  42 216 265 278 317 330 345];46;129
9;29.855562925338745;10;323.0;323.0;[  0   4  38  42 216 265 278 317 330 345];0;129
