1;0.3866097927093506;10;266.0;0;[  0   1   2   3   4   5   6   7   8 316];1;1
2;0.7938230037689209;10;266.0;0.0;[  0   1   2   3   4   5   6   7  69 316];1;1
3;1.2542238235473633;10;266.0;0.0;[  0   1   2   3   4   5   6   7  69 316];2;2
4;1.755199909210205;10;266.0;132.75;[  0   1   2   3   4   5   6   7  69 316];2;3
5;2.29744291305542;10;266.0;199.25;[  0   1   2   3   4   5   6   7  69 316];2;4
6;2.870107889175415;10;266.0;232.4375;[  0   1   2   3   4   5   6   7  69 316];2;5
7;3.4753336906433105;10;266.0;249.0625;[  0   1   2   3   4   5   6   7  69 316];2;6
8;4.119282960891724;10;266.0;257.359375;[  0   1   2   3   4   5   6   7  69 316];2;7
9;4.800694942474365;10;266.0;261.515625;[  0   1   2   3   4   5   6   7  69 316];2;8
10;5.536357879638672;10;266.0;263.5888671875;[  0   1   2   6   7  69 215 293 316 350];2;9
11;6.703431844711304;10;266.0;0.0;[  3   6  39  69  83 128 134 284 293 316];18;18
12;7.176714897155762;10;266.0;0.0;[  6   7  69 134 293 316 341 346 349 352];18;18
13;8.699987888336182;10;266.0;133.0;[  6   7  69  83 215 293 316 349 350 352];18;27
-1;;9.708072900772095;10;266.0;266.0;[  6   7  69  83 215 293 316 349 350 352];0;27
