1;0.3811779022216797;10;204.0;0;[ 0  1  2  3  4  5  6  7  8 42];1;1
2;0.7857239246368408;10;204.0;0.0;[ 0  1  2  9 15 40 42 59 75 84];1;1
3;1.4740979671478271;10;203.5625;0.0;[ 0  1  2  9 15 27 37 42 59 75];8;8
4;1.879410982131958;10;203.125;0.0;[ 0  1  2  9 15 27 37 42 59 75];8;8
5;2.5926830768585205;10;202.046875;20.625;[ 1  2  9 10 15 27 37 42 59 75];14;15
6;3.543531894683838;10;201.22265625;55.484375;[ 1  2  9 10 15 27 37 42 59 75];22;26
7;4.865370988845825;10;200.708984375;83.91015625;[ 1  2  9 15 27 37 42 59 75 84];34;43
8;6.718844890594482;10;200.56982421875;109.4130859375;[ 1  2  9 15 27 37 42 59 75 84];52;69
9;9.398216962814331;10;200.416259765625;133.75927734375;[ 1  2  9 15 27 37 42 59 75 84];74;106
10;13.392957925796509;10;200.35333251953125;146.271728515625;[ 1  2  9 15 27 37 42 59 75 84];118;165
11;19.717686891555786;10;200.28854370117188;154.7886962890625;[ 1  2  9 15 27 37 42 59 75 84];196;263
12;29.834793090820312;10;200.24826049804688;162.25985717773438;[ 1  2  9 15 27 37 42 59 75 84];324;425
13;46.151926040649414;10;200.2203826904297;168.78152465820312;[ 1  2  9 15 27 37 42 59 75 84];532;691
14;73.02351689338684;10;200.19999313354492;173.86443328857422;[ 1  2  9 15 27 37 42 59 75 84];886;1134
15;116.3300449848175;10;200.1841459274292;179.23208236694336;[ 1  2  9 15 27 37 42 59 75 84];1402;1835
16;187.38311195373535;10;200.1735897064209;183.45526504516602;[ 1  2  9 15 27 37 42 59 75 84];2226;2948
17;303.8633930683136;10;200.16649317741394;187.18154382705688;[ 1  2  9 15 27 37 42 59 75 84];3436;4666
18;492.85168385505676;10;200.161496758461;190.32404088974;[ 1  2  9 15 27 37 42 59 75 84];5166;7249
19;788.4344310760498;10;200.1581095457077;192.89836305379868;[ 1  2  9 15 27 37 42 59 75 84];7542;11020
20;1254.7935991287231;10;200.1555098593235;194.8238550722599;[ 1  2  9 15 27 37 42 59 75 84];10912;16476
21;1987.9072060585022;10;200.15394435077906;196.26496504247189;[ 1  2  9 15 27 37 42 59 75 84];15562;24257
22;3192.6969418525696;10;200.15295407176018;197.20239944010973;[ 1  2  9 15 27 37 42 59 75 84];22966;35740
I;1;0.3807058334350586;10;204.0;0;[ 0  1  2  3  4  5  6  7  8 42];1;1
I;2;0.7814939022064209;10;204.0;0.0;[ 0  1  2  9 15 40 42 59 75 84];1;1
I;3;1.473496675491333;10;203.5625;0.0;[ 0  1  2  9 15 27 37 42 59 75];8;8
I;4;1.882192850112915;10;203.125;0.0;[ 0  1  2  9 15 27 37 42 59 75];8;8
I;5;2.6220479011535645;10;202.046875;20.625;[ 1  2  9 10 15 27 37 42 59 75];14;15
I;6;3.6001017093658447;10;201.22265625;55.484375;[ 1  2  9 10 15 27 37 42 59 75];22;26
I;7;4.948049783706665;10;200.708984375;90.95703125;[ 1  2  9 15 27 37 42 59 75 84];32;42
I;8;6.817168712615967;10;200.56982421875;116.5087890625;[ 1  2  9 15 27 37 42 59 75 84];48;66
I;9;9.466144800186157;10;200.416259765625;139.05810546875;[ 1  2  9 15 27 37 42 59 75 84];68;100
I;10;13.41224980354309;10;200.35333251953125;151.539306640625;[ 1  2  9 15 27 37 42 59 75 84];106;153
I;11;19.665112733840942;10;200.28854370117188;158.310546875;[ 1  2  9 15 27 37 42 59 75 84];180;243
I;12;29.59899067878723;10;200.24826049804688;165.78787231445312;[ 1  2  9 15 27 37 42 59 75 84];292;389
I;13;45.619834661483765;10;200.2203826904297;171.53045654296875;[ 1  2  9 15 27 37 42 59 75 84];482;630
I;14;71.59237885475159;10;200.19999313354492;176.56275177001953;[ 1  2  9 15 27 37 42 59 75 84];788;1024
I;15;112.99548482894897;10;200.1841859817505;181.62417793273926;[ 1  2  9 15 27 37 42 59 75 84];1228;1638
I;16;179.32860279083252;10;200.17380332946777;185.4746961593628;[ 1  2  9 15 27 37 42 59 75 84];1930;2603
I;17;282.48405504226685;10;200.16706204414368;189.33570957183838;[ 1  2  9 15 27 37 42 59 75 84];2810;4008
I;18;443.34543204307556;10;200.1625429391861;192.19326162338257;[ 1  2  9 15 27 37 42 59 75 84];4066;6041
I;19;687.8096759319305;10;200.15958988666534;194.4376846551895;[ 1  2  9 15 27 37 42 59 75 84];5690;8886
I;20;1053.1729090213776;10;200.15743684768677;196.01364028453827;[ 1  2  9 15 27 37 42 59 75 84];7956;12864
I;21;1620.50750207901;10;200.15620759874582;196.99796502292156;[ 1  2  9 15 27 37 42 59 75 84];11592;18660
I;22;2530.2032527923584;10;200.15543255209923;197.62827318906784;[ 1  2  9 15 27 37 42 59 75 84];17620;27470
