1;0.3954129219055176;10;163.0;0;[ 0  1  2  3  4  5  6  7  8 23];1;1
2;0.7993531227111816;10;163.0;0.0;[  0   1   2   3  13  23  94  99 120 121];1;1
2;0.8214051723480225;10;163.0;163.0;[  0   1   2   3  13  23  94  99 120 121];0;1
I;1;0.3879697322845459;10;163.0;0;[ 0  1  2  3  4  5  6  7  8 23];1;1
I;2;0.7959880828857422;10;163.0;0.0;[  0   1   2   3  13  23  94  99 120 121];1;1
C;2;0.8182129859924316;10;163.0;163.0;[  0   1   2   3  13  23  94  99 120 121];0;1
I;1;0.3926126956939697;10;163.0;0;[ 0  1  2  3  4  5  6  7  8 23];1;1
I;2;0.8026468753814697;10;163.0;0;[  0   1   2   3  13  23  94  99 120 121];1;1
C;2;0.8242707252502441;10;163.0;163.0;[  0   1   2   3  13  23  94  99 120 121];0;1
I;1;0.40163087844848633;10;163.0;0;[ 0  1  2  3  4  5  6  7  8 23];1;1
I;2;0.834744930267334;10;163.0;0;[  0   1   2   3  13  23  94  99 120 121];1;1
C;2;0.8571329116821289;10;163.0;163.0;[  0   1   2   3  13  23  94  99 120 121];0;1
