I;1;0.40351009368896484;10;383.0;0;[  0   1   2   3   4   5  73  81 113 119];1;1;0;0
I;2;0.8199200630187988;10;362.0;0.0;[  0   1   2   3   4  73  74  81 113 119];1;1;0;0
I;3;1.2407691478729248;10;362.0;0.0;[  1  73  74  79  81  85 108 113 119 125];1;1;0;0
I;4;1.7130870819091797;10;362.0;0.0;[  1  73  74  79  81 102 113 118 119 125];2;2;0;0
I;5;2.1464991569519043;10;362.0;0.0;[  1   2  46  73  74  79  81 113 119 125];2;2;0;0
I;6;2.6844441890716553;10;362.0;0.0;[  1  28  73  74  79  80  81  85 113 119];4;4;0;0
I;7;3.3312408924102783;10;362.0;0.0;[  1   2  73  74  79  81 102 113 119 125];8;8;0;0
I;8;4.219048023223877;10;362.0;0.0;[  1   2  73  74  81  85 102 112 113 119];16;16;0;0
I;9;5.634011268615723;10;362.0;134.40625;[  1  73  74  80  81  85 102 113 119 125];20;26;0.282167911529541;4
I;10;7.675512075424194;10;361.578125;156.53125;[  1  24  73  74  81  85 102 113 119 125];36;44;0.6329813003540039;10
I;11;10.86054515838623;10;361.578125;145.484375;[  0   1  73  74  81  85 102 113 119 125];60;74;1.2151188850402832;20
I;12;15.758864164352417;10;361.23583984375;176.2734375;[  0   1  73  74  81  85 102 113 119 125];104;126;1.9782261848449707;33
I;13;24.00480318069458;10;361.096923828125;202.85009765625;[  1  28  73  74  81  85 102 112 113 119];186;219;3.2083232402801514;54
I;14;36.39430022239685;10;361.07037353515625;119.63427734375;[  1  46  73  74  81  85 102 113 119 125];324;381;3.671609401702881;62
I;15;57.80998921394348;10;361.01380920410156;274.71429443359375;[  1  28  73  74  81  85 102 113 119 125];332;547;10.036931037902832;169
I;16;89.11066126823425;10;360.96380615234375;297.4762420654297;[  1  46  73  74  81  85 102 113 119 125];462;778;19.84709906578064;335
I;17;134.6083390712738;10;360.9282112121582;311.5053253173828;[  1  46  73  74  81  85 102 113 119 125];642;1099;34.45944428443909;583
I;18;194.04767322540283;10;360.9041347503662;332.2370719909668;[  1  46  73  74  81  85 102 113 119 125];782;1490;53.22643446922302;900
I;19;270.6354019641876;10;360.8888988494873;340.2993335723877;[  1  46  73  74  81  85 102 113 119 125];936;1958;76.41573667526245;1292
I;20;366.8166720867157;10;360.87892389297485;341.38514041900635;[  1  46  73  74  81  85 102 113 119 125];1084;2500;104.80042243003845;1769
I;21;484.1601243019104;10;360.8707094192505;347.4832515716553;[  1  46  73  74  81  85 102 113 119 125];1282;3141;135.92007970809937;2293
I;22;627.1370732784271;10;360.86244308948517;348.7182970046997;[  1  46  73  74  81  85 102 113 119 125];1490;3886;169.59573578834534;2859
I;23;792.9713840484619;10;360.85618963837624;353.93188560009;[  1  46  73  74  81  85 102 113 119 125];1638;4705;204.78686618804932;3447
I;24;979.6732630729675;10;360.8284362256527;350.5663949549198;[  1  46  73  74  81  85 102 112 113 119];1770;5590;238.83681678771973;4014
I;25;997.3388431072235;10;360.81481026113033;350.5663949549198;[  1  46  73  74  81  85 102 112 113 119];5590;5590;238.83681678771973;4014
I;26;1297.2523231506348;10;360.7939952760935;269.2061566412449;[  1  28  73  74  81  85 102 112 113 119];3364;7272;301.1090760231018;5061
I;27;1679.658991098404;10;360.84934724122286;314.46679892390966;[  1  46  73  74  81  85 102 113 119 125];3632;9088;388.1295301914215;6514
I;28;1710.8038992881775;10;360.8492934182286;314.46679892390966;[  1  46  73  74  81  85 102 113 119 125];9088;9088;388.1295301914215;6514
I;29;2050.9129700660706;10;360.8479715809226;355.4836259558797;[  1  46  73  74  81  85 102 113 119 125];2594;10385;432.1117753982544;7241
I;30;2408.7064111232758;10;360.84674710966647;354.95144893601537;[  1  46  73  74  81  85 102 113 119 125];2502;11636;471.9734811782837;7904
I;31;2789.238571166992;10;360.8430230845697;357.03087717294693;[  1  28  73  74  81  85 102 113 119 125];2290;12781;510.909353017807;8549
I;32;3182.274162054062;10;360.8429352133535;356.33827742701396;[  1  46  73  74  81  85 102 113 119 125];2086;13824;548.4130544662476;9167
I;33;3573.354408979416;10;360.8421183573082;357.10614649392664;[  1  46  73  74  81  85 102 113 119 125];1594;14621;585.1933333873749;9772
