1;0.3962399959564209;10;202.0;0;[  0   1   2   3   4   5   6   7  72 106];1;1
2;0.8093929290771484;10;189.0;0.0;[  0   1   2   3   4   5   6  72  76 106];1;1
2;0.8407399654388428;10;189.0;189.0;[  0   1   2   3   4   5   6  72  76 106];0;1
1;0.39305996894836426;10;202.0;0;[  0   1   2   3   4   5   6   7  72 106];1;1
2;0.7969601154327393;10;189.0;0.0;[  0   1   2   3   4   5   6  72  76 106];1;1
-1;;0.8277370929718018;10;189.0;189.0;[  0   1   2   3   4   5   6  72  76 106];0;1
1;0.3864779472351074;10;202.0;0;[  0   1   2   3   4   5   6   7  72 106];1;1
2;0.7967178821563721;10;189.0;0.0;[  0   1   2   3   4   5   6  72  76 106];1;1
2;0.8277969360351562;10;189.0;189.0;[  0   1   2   3   4   5   6  72  76 106];0;1
