1;0.39887094497680664;10;134.0;0;[  0   1   2   3   4   5   6   7   8 109];1;1
2;0.8159148693084717;10;134.0;0.0;[  0   1   2   3   4   7  88  90 108 109];1;1
3;1.2535021305084229;10;134.0;0.0;[  0   1   2   3   4   7  88  90 108 109];2;2
4;1.7286617755889893;10;132.375;67.0;[  0   1   2   3   4   7  88  90 108 109];2;3
5;2.2205610275268555;10;131.40625;100.5;[  0   1   2   3   4   7  88  90 108 109];2;4
6;2.70998215675354;10;131.40625;114.65625;[  0   1   2   3   4   7  88  90 108 109];2;5
7;3.2207891941070557;10;131.314453125;123.03125;[  0   1   2   3   4   7  88  90 108 109];2;6
7;3.3153061866760254;10;131.314453125;131.3046875;[  0   1   2   3   4   7  88  90 108 109];0;6
1;0.42907071113586426;10;134.0;0;[  0   1   2   3   4   5   6   7   8 109];1;1;0;0
2;0.8678948879241943;10;134.0;0.0;[  0   1   2   3   4   7  88  90 108 109];1;1;0;0
3;1.347484827041626;10;131.31359649122805;0.0;[  0   1   2   3   4   7  88  90 108 109];2;2;1;1
3;1.3865227699279785;10;131.31359649122805;131.31359649122805;[  0   1   2   3   4   7  88  90 108 109];0;2;1;1
1;0.41433286666870117;10;134.0;0;[  0   1   2   3   4   5   6   7   8 109];1;1;0;0
2;0.8384609222412109;10;134.0;0.0;[  0   1   2   3   4   7  88  90 108 109];1;1;0;0
3;1.294104814529419;10;131.31359649122805;0.0;[  0   1   2   3   4   7  88  90 108 109];2;2;1;1
3;1.3325750827789307;10;131.31359649122805;131.31359649122805;[  0   1   2   3   4   7  88  90 108 109];0;2;1;1
I;1;0.3958249092102051;10;134.0;0;[  0   1   2   3   4   5   6   7   8 109];1;1;0;0;0
I;2;0.8100478649139404;10;134.0;0.0;[  0   1   2   3   4   7  88  90 108 109];1;1;0;0;0
I;3;1.2641677856445312;10;131.31359649122805;0.0;[  0   1   2   3   4   7  88  90 108 109];2;2;1;1;0.0012967586517333984
C;3;1.3019309043884277;10;131.31359649122805;131.31359649122805;[  0   1   2   3   4   7  88  90 108 109];0;2;1;1;0.0012967586517333984
