1;0.40468287467956543;10;152.0;0;[  0   1   2   3   4   5   6   7  71 140];1;1;0;0
2;0.8300957679748535;10;152.0;0.0;[  0   1   2   3   4   6  66  71 139 140];1;1;0;0
3;1.3738911151885986;10;143.25;0.0;[  0   1   2   3   4   6  66  71 139 140];2;2;0.07694482803344727;1
4;2.0006320476531982;10;143.25;68.75;[  0   1   2   3   4   6  66  71 139 140];2;3;0.21850180625915527;3
5;2.7976489067077637;10;142.40625;68.75;[  0   1   2   3   4   6  66  71 139 140];4;5;0.477783203125;6
6;3.751183032989502;10;141.6484375;82.53125;[  0   1   2   3   4   6  66  71 139 140];6;8;0.8317375183105469;11
7;5.0175957679748535;10;141.037109375;98.921875;[  0   1   2   3   4   6  66  71 139 140];8;12;1.3981380462646484;19
8;6.652378082275391;10;140.90576171875;114.759765625;[  0   1   2   3   4   6  66  71 139 140];8;16;2.2460200786590576;31
9;8.710726976394653;10;140.840087890625;120.77880859375;[  0   2   6  66  71  72  96 120 139 140];10;21;3.3845372200012207;47
10;11.187356948852539;10;140.7862548828125;136.108642578125;[  0   2   6  66  71  72  96 120 139 140];8;25;4.8515846729278564;68
11;14.016754865646362;10;140.77899169921875;139.0196533203125;[  0   2   6  66  71  72  96 120 139 140];6;28;6.601248741149902;93
11;16.69301199913025;10;140.77899169921875;140.15594482421875;[  0   2   6  66  71  72  96 120 139 140];0;30;8.567576169967651;121
