1;0.3927640914916992;10;204.0;0;[ 0  1  2  3  4  5  6  7  8 42];1;1
I;14;25.897890090942383;10;200.26238268351568;135.05342923012046;[ 1  2  9 15 27 37 42 59 75 84];258;305;304;148;0.40303587913513184
I;15;41.913241147994995;10;200.23238022273026;147.4507523128119;[ 1  2  9 15 27 37 42 59 75 84];452;531;530;237;0.6967422962188721
I;16;67.2559859752655;10;200.2187526222115;160.3077294886181;[ 1  2  9 15 27 37 42 59 75 84];694;878;877;372;1.1413843631744385
I;17;108.19631886482239;10;200.20307986510463;166.12103822337986;[ 1  2  9 15 27 37 42 59 75 84];1102;1429;1428;597;1.8492188453674316
I;18;172.67170786857605;10;200.19149963238294;171.72563708041716;[ 1  2  9 15 27 37 42 59 75 84];1664;2261;2260;941;2.9258627891540527
I;19;272.1463830471039;10;200.18108919174765;176.51591554657222;[ 1  2  9 15 27 37 42 59 75 84];2404;3463;3462;1423;4.490143537521362
I;20;427.2285051345825;10;200.17352568859363;180.80997599134568;[ 1  2  9 15 27 37 42 59 75 84];3464;5195;5194;2118;6.778762102127075
I;21;659.6014358997345;10;200.13698713240274;185.0392455367884;[ 1  2  9 10 15 27 37 42 59 75];4868;7629;7628;3027;9.990536212921143
I;22;674.5965509414673;10;200.13216958384893;185.0392455367884;[ 1  2  9 10 15 27 37 42 59 75];7629;7629;7628;3027;9.990536212921143
I;23;1171.2952618598938;10;200.16694460368035;142.76930740903913;[ 1  2  9 15 27 37 42 59 75 84];10720;12989;12988;6170;17.258456707000732
I;24;1192.6011559963226;10;200.16694380810227;142.76930740903913;[ 1  2  9 15 27 37 42 59 75 84];12989;12989;12988;6170;17.258456707000732
I;25;1821.1512179374695;10;200.16264444942018;188.8732138860151;[ 1  2  9 15 27 37 42 59 75 84];11034;18506;18505;8279;24.642752170562744
I;26;2816.828033924103;10;200.1599843916578;191.21833272364097;[ 1  2  9 15 27 37 42 59 75 84];15426;26219;26218;11088;34.968321084976196
