I;1;0.4061887264251709;10;326.0;0;[  0   1  31 129 155 161 181 276 286 292];1;1
I;2;0.8398809432983398;10;302.0;0;[  0  23  74 152 155 161 181 276 292 338];1;1
I;3;1.2855339050292969;10;291.0;0;[  0  73  74 152 155 161 173 181 292 338];1;1
I;4;1.7222049236297607;10;279.0;0;[  0  23  24  73  74 152 155 161 181 292];1;1
I;5;2.156733989715576;10;275.0;0;[  0  73  74 104 152 155 161 173 181 292];1;1
I;6;2.596522569656372;10;273.0;0;[  0  12  24  73  74 152 155 161 181 292];1;1
I;7;3.032778739929199;10;269.0;0;[  0  12  24  73  74  81 152 155 161 181];1;1
I;8;3.4782967567443848;10;263.0;0;[  0  23  72 104 152 155 161 173 181 338];1;1
I;9;3.9225590229034424;10;257.0;0;[  0  81 104 152 161 173 181 276 292 338];1;1
I;10;4.5971999168396;10;257.0;210.0;[  0  81 104 152 161 173 181 276 292 338];2;2
I;11;5.432276010513306;10;257.0;210.0;[  0  81 104 152 161 173 181 276 292 338];4;4
I;12;6.67586088180542;10;257.0;210.0;[  0  81 104 152 161 173 181 276 292 338];8;8
I;13;8.756200790405273;10;257.0;210.0;[  0  81 104 152 161 173 181 276 292 338];16;16
I;14;12.491256713867188;10;257.0;210.0;[  0  81 104 152 161 173 181 276 292 338];32;32
I;15;19.649791955947876;10;257.0;210.0;[  0  81 104 152 161 173 181 276 292 338];64;64
I;16;33.32439398765564;10;257.0;210.0;[  0  81 104 152 161 173 181 276 292 338];128;128
I;17;60.291807651519775;10;257.0;210.0;[  0  81 104 152 161 173 181 276 292 338];256;256
I;18;113.88049173355103;10;257.0;210.0;[  0  81 104 152 161 173 181 276 292 338];512;512
I;19;222.05780267715454;10;257.0;210.0;[  0  81 104 152 161 173 181 276 292 338];1024;1024
I;20;442.7397277355194;10;257.0;210.0;[  0  81 104 152 161 173 181 276 292 338];2048;2048
I;21;908.6329479217529;10;257.0;210.0;[  0  81 104 152 161 173 181 276 292 338];4096;4096
I;22;1914.1283898353577;10;257.0;210.0;[  0  81 104 152 161 173 181 276 292 338];8192;8192
