1;0.3931548595428467;10;370.0;0;[  0   1   2   3  81  89 106 164 192 237];1;1;0
2;0.7951178550720215;10;244.0;0.0;[  1   2  64  81  94  95 223 227 228 237];1;1;0
3;1.209794282913208;10;244.0;0.0;[  1   2  64  94  95  96 106 164 223 237];1;1;0
4;1.628298044204712;10;244.0;0.0;[  1   2  64  81  94  95  96 163 223 237];1;1;0
5;2.0413670539855957;10;237.0;0.0;[  1   2  94  95  96 106 163 223 231 237];1;1;0
6;2.459152936935425;10;237.0;0.0;[  1   2  62  81  94  95  96 106 223 237];1;1;0
7;2.877346992492676;10;237.0;0.0;[  1   2  81  94  95  96 106 110 223 237];1;1;0
8;3.2906880378723145;10;235.0;0.0;[  1   2   7  81  94  95  96 106 110 237];1;1;0
9;3.7019660472869873;10;231.0;0.0;[  1   2  62  94  95  96 106 110 229 237];1;1;0
10;5.214950084686279;10;225.25;0.0;[  1   2  62  94  95  96 106 110 229 237];2;2;0.9774363040924072
11;7.747430086135864;10;223.25;0.0;[  1   2  65  81  94  95  96 106 223 237];4;4;2.833590030670166
12;12.308946132659912;10;223.25;0.0;[  1   2  62  65  94  95  96 106 223 237];8;8;6.478135108947754
13;20.95057487487793;10;223.0;27.5;[  1   2  65  81  94  95  96 106 223 237];14;15;13.767624616622925
14;36.75647020339966;10;221.9921875;55.0;[  1   2  62  65  94  95  96 106 223 237];24;27;27.49354338645935
15;64.29481601715088;10;221.42578125;108.546875;[  1   2  62  65  94  95  96 106 223 237];32;43;52.199501752853394
16;107.3148250579834;10;221.181640625;142.66015625;[  1   2  65  81  94  95  96 106 223 237];42;64;91.40885376930237
17;170.965411901474;10;221.0859375;164.546875;[  1   2  65  81  94  95  96 106 223 237];56;92;149.846932888031
18;262.1000452041626;10;221.0513916015625;177.6064453125;[  1   2  65  81  94  95  96 106 223 237];72;128;234.03099465370178
19;389.36809515953064;10;221.00360107421875;176.5645751953125;[  1   2  62  65  94  95  96 106 223 237];106;181;351.4916262626648
20;568.7219090461731;10;220.96597290039062;187.986083984375;[  1   2  62  65  94  95  96 106 223 237];118;240;518.7380349636078
21;805.6138241291046;10;220.93890380859375;203.72869873046875;[  1   2  62  65  94  95  96 106 223 237];132;306;741.105678319931
22;1106.1217470169067;10;220.91500854492188;206.38197326660156;[  1   2  65  81  94  95  96 106 223 237];140;376;1024.7685177326202
23;1470.5908131599426;10;220.91120529174805;214.97217559814453;[  1   2  62  65  94  95  96 106 223 237];132;442;1370.9432039260864
24;1902.6694412231445;10;220.8992862701416;213.43123245239258;[  1   2  62  65  94  95  96 106 223 237];162;523;1781.0728523731232
25;2411.9688470363617;10;220.88326263427734;213.19076919555664;[  1   2  62  65  94  95  96 106 223 237];160;603;2266.213414669037
26;2996.20507311821;10;220.88211011886597;217.25596523284912;[  1   2  65  81  94  95  96 106 223 237];130;668;2825.666904449463
