I;1;0.0004458427429199219;10;1000000.0;0;[0 1 2 3 4 5 6 7 8 9];1;1
I;2;0.007422924041748047;10;227.0;0.0;[ 0  1  2  3  4  5  6  7  9 55];1;1
I;3;0.014216899871826172;10;227.0;0.0;[  0   1   2   8   9  31  55  59  87 102];1;1
I;4;0.04106283187866211;10;227.0;0.0;[  0   1   2   8   9  31  55  59  87 102];2;2
I;5;0.08548092842102051;10;224.8125;113.5;[  0   1   8   9  31  55  57  59  87 102];2;3
I;6;0.14308667182922363;10;224.8125;170.25;[  0   1   8   9  31  55  57  59  87 102];2;4
I;7;0.21941590309143066;10;224.59765625;196.515625;[  0   1   8   9  31  55  57  59  87 102];2;5
C;7;0.30104494094848633;10;224.59765625;224.578125;[  0   1   8   9  31  55  57  59  87 102];0;5
I;1;0.00045299530029296875;10;1000000.0;0;[0 1 2 3 4 5 6 7 8 9];1;1
I;2;0.008594751358032227;10;227.0;0.0;[ 0  1  2  3  4  5  6  7  9 55];1;1
I;3;0.015564918518066406;10;227.0;0.0;[  0   1   2   8   9  31  55  59  87 102];1;1
I;4;0.07415294647216797;10;227.0;219.25;[  0   1   2   8   9  31  55  59  87 102];2;2
I;5;0.12002873420715332;10;224.8125;223.125;[  0   1   8   9  31  55  57  59  87 102];2;3
C;5;0.2116379737854004;10;224.8125;224.34375;[  0   1   8   9  31  55  57  59  87 102];0;4
