1;0.3915226459503174;10;134.0;0;[  0   1   2   3   4   5   6   7   8 109];1;1
2;0.807905912399292;10;134.0;0.0;[  0   1   2   3   4   7  88  90 108 109];1;1
3;1.313525915145874;10;132.375;67.0;[  0   1   2   3   4   7  88  90 108 109];2;3
4;1.8451108932495117;10;131.40625;114.65625;[  0   1   2   3   4   7  88  90 108 109];2;5
5;2.354722023010254;10;131.314453125;123.03125;[  0   1   2   3   4   7  88  90 108 109];2;6
5;2.4526519775390625;10;131.314453125;131.3046875;[  0   1   2   3   4   7  88  90 108 109];0;6
I;1;0.4329240322113037;10;134.0;0;[  0   1   2   3   4   5   6   7   8 109];1;1
I;2;0.8836019039154053;10;134.0;0.0;[  0   1   2   3   4   7  88  90 108 109];1;1
I;3;1.43048095703125;10;132.375;67.0;[  0   1   2   3   4   7  88  90 108 109];2;3
I;4;2.0251309871673584;10;131.40625;114.65625;[  0   1   2   3   4   7  88  90 108 109];2;5
I;5;2.5646400451660156;10;131.314453125;123.03125;[  0   1   2   3   4   7  88  90 108 109];2;6
C;5;2.6688687801361084;10;131.314453125;131.3046875;[  0   1   2   3   4   7  88  90 108 109];0;6
I;1;0.39836812019348145;10;134.0;0;[  0   1   2   3   4   5   6   7   8 109];1;1
I;2;0.813194990158081;10;134.0;0;[  0   1   2   3   4   7  88  90 108 109];1;1
I;3;1.372342824935913;10;132.375;129.625;[  0   1   2   3   4   7  88  90 108 109];2;3
C;3;1.502568006515503;10;132.375;131.203125;[  0   1   2   3   4   7  88  90 108 109];0;5
