I;1;0.012867927551269531;10;-1e+100;1e+100;137.0;137.0;None;[ 1  2  3  4  5  6  7  8  9 10];137.0;1;1
I;2;0.05301308631896973;10;137.0;259.0;259.0;259.0;137.0;[  0   1   2   3   4   5   6  18  51 116];259.0;0;1
I;3;0.0745859146118164;10;137.0;241.0;241.0;241.0;137.0;[  0   1   3   4   5  18  51 101 116 168];241.0;1;1
I;4;0.10451889038085938;10;137.0;241.0;241.00000000000003;241.00000000000003;137.0;[  0   1   3   4  18  51 101 116 166 168];241.00000000000003;1;1
I;5;0.14192891120910645;10;137.0;241.0;223.0;223.0;137.0;[  0   1   3   4  18  51 101 116 166 168];223.0;1;1
I;6;0.2924070358276367;10;137.0;241.0;220.75;220.75;0.0;[  0   1   3   4  18  51 101 116 166 168];220.75;4;4
I;7;0.4802861213684082;10;137.0;241.0;219.53125000000006;219.53125000000006;0.0;[  0   1   3   4  18  51 101 116 166 168];219.53125000000006;8;8
I;8;1.4165520668029785;10;137.0;241.0;214.32031250000009;214.32031250000009;0.0;[  0   1   3   4  18  51 101 116 166 168];214.32031250000009;32;32
I;9;2.5858519077301025;10;137.0;241.0;213.14257812499994;213.14257812499994;6.9375;[  0   1   3   4   5  18  51 101 116 168];213.14257812499994;62;63
I;10;4.88208794593811;10;137.0;241.0;209.62207031250003;209.62207031250003;0.0;[  0   1   3   4   5  18  51 101 116 168];209.62207031250003;126;126
I;11;9.343945026397705;10;137.0;241.0;208.57275390625;208.57275390625;14.3359375;[  0   1   3   4   5  18  51 101 116 168];208.57275390625;236;244
I;12;17.80165195465088;10;137.0;241.0;208.02453613281256;208.02453613281256;24.6591796875;[  0   1   3   4   5  18  51 101 116 168];208.02453613281256;446;467
I;13;33.49702501296997;10;137.0;241.0;207.65338134765625;207.65338134765625;40.4638671875;[  0   1   3   4   5  18  51 101 116 168];207.65338134765625;814;874
I;14;62.285175800323486;10;137.0;241.0;213.14257812500102;213.14257812500102;61.7705078125;[  0   1   4   5  18  51 101 116 166 168];213.14257812500102;1420;1584
I;15;118.72568106651306;10;137.0;241.0;211.02318572998044;211.02318572998044;63.12213134765625;[  0   1   4   5  18  51 101 116 166 168];211.02318572998044;2490;2829
I;16;210.83047795295715;10;137.0;241.0;210.90488815307617;210.90488815307617;89.75229263305664;[  0   1   4   5  18  51 101 116 166 168];210.90488815307617;4184;4921
I;17;373.81141996383667;10;137.0;241.0;210.81686210632327;210.81686210632327;111.91431331634521;[  0   1   4   5  18  51 101 116 166 168];210.81686210632327;6922;8382
I;18;666.7417879104614;10;137.0;241.0;210.7602562904358;210.7602562904358;131.45969676971436;[  0   1   4   5  18  51 101 116 166 168];210.7602562904358;11294;14029
I;19;1209.8312819004059;10;137.0;241.0;240.0;240.0;147.05496609210968;[  0   1  17  43  51 109 116 166 167 168];240.0;18336;23197
I;20;2671.1660199165344;10;137.0;241.0;218.2619508504868;218.2619508504868;52.9717059135437;[  0   1  17  18  51 101 109 116 167 168];218.2619508504868;42582;43790
