1;0.007786989212036133;2;-1e+100;133.0;[1 2]
2;0.08188009262084961;2;-1e+100;174.0;[0 1]
3;0.0872490406036377;2;-1e+100;204.0;[0 3]
4;0.09186005592346191;2;-1e+100;189.0;[ 3 18]
5;0.09651803970336914;2;-1e+100;192.875;[ 0 18]
6;0.15427207946777344;2;-1e+100;192.85156249999997;[ 0 18]
7;0.17119598388671875;2;-1e+100;192.775390625;[ 0 18]
-1;0.1870889663696289;2;192.775390625;192.775390625;[ 0 18]
1;0.007845163345336914;20;-1e+100;133.0;[ 1  2  4  5  6  7  8  9 10 11 12 13 14 15 16 17 19 20 21 22]
2;0.01840996742248535;20;133.0;230.0;[ 0  1  2  3  4  5  6  8  9 10 12 13 14 15 16 17 18 19 20 22]
-1;0.0264129638671875;20;230.0;230.0;[ 0  1  2  3  4  5  6  8  9 10 12 13 14 15 16 17 18 19 20 22]
