10:1;2;50000;2.35050106048584;76.0;[2, 30]
10:2;2;50000;2.180696725845337;277.0;[0, 18]
10:3;2;50000;1.9975428581237793;241.07865011491842;[4, 20]
10:4;2;50000;1.594890832901001;66.3239600056065;[4, 21]
10:5;2;50000;1.4900648593902588;192.78703070034422;[0, 18]
100:1;2;50000;180.95638298988342;192.41422680638476;[23, 2247]
100:2;2;50000;183.88520908355713;169.45167540961415;[0, 2890]
100:3;2;50000;202.51755905151367;206.59934166502137;[0, 3012]
100:4;2;50000;173.5075011253357;140.17179050128576;[0, 1685]
100:5;2;50000;152.94153881072998;127.08212473776325;[0, 2941]
10:1;20;50000;3.5047051906585693;78.0;[0, 1, 2, 3, 4, 8, 9, 10, 20, 21, 22, 23, 24, 5, 6, 7, 25, 26, 30, 19]
10:2;20;50000;4.064424991607666;278.0;[0, 1, 2, 11, 12, 13, 14, 19, 20, 21, 22, 23, 24, 25, 3, 4, 5, 6, 7, 18]
10:3;20;50000;2.846835136413574;292.0705510999407;[0, 1, 2, 3, 4, 5, 13, 23, 14, 15, 16, 21, 22, 6, 7, 8, 9, 10, 11, 20]
10:4;20;50000;2.186431884765625;67.0428310168655;[0, 1, 2, 3, 4, 5, 6, 20, 21, 22, 23, 24, 10, 11, 12, 7, 8, 9, 13, 19]
10:5;20;50000;2.75603985786438;230.0;[0, 1, 2, 3, 4, 5, 6, 22, 15, 16, 17, 18, 7, 8, 9, 10, 11, 12, 13, 21]
100:1;20;50000;190.02288794517517;275.7195135165395;[0, 23, 157, 159, 161, 1505, 1507, 1515, 1712, 2247, 2358, 2955, 1756, 1777, 2431, 2926, 1598, 1600, 1609, 989]
100:2;20;50000;199.55176305770874;275.90666056842355;[0, 9, 115, 130, 139, 445, 1386, 2295, 2300, 2759, 1706, 2462, 2607, 2795, 110, 2531, 889, 2890, 2641, 595]
100:3;20;50000;194.89156103134155;268.6270594675836;[0, 1, 16, 21, 208, 209, 215, 224, 242, 245, 272, 444, 2493, 2979, 1784, 3012, 2695, 447, 2344, 2507]
100:4;20;50000;198.39184021949768;199.20796019924435;[0, 38, 46, 58, 182, 203, 622, 1685, 1739, 77, 226, 480, 483, 786, 1707, 1770, 2545, 2666, 2829, 2698]
100:5;20;50000;173.02976775169373;187.4769565630516;[0, 1, 33, 37, 39, 57, 79, 768, 1615, 2883, 92, 969, 986, 1147, 2436, 661, 2941, 834, 1008, 1848]
