1000;0.47948169708251953;2;75.99999999999932;[ 2 30]
10000;4.985735893249512;2;75.99999999997995;[ 2 30]
20000;9.914730072021484;2;75.99999999997247;[ 2 30]
1000;0.5195019245147705;2;75.99999999999932;[ 2 30]
10000;4.810937166213989;2;75.99999999997995;[ 2 30]
20000;10.107439279556274;2;75.99999999997247;[ 2 30]
50000;26.05890202522278;2;75.99999999996939;[ 2 30]
1000;0.48294901847839355;2;75.99999999999932;[ 2 30]
10000;4.716598987579346;2;75.99999999997995;[ 2 30]
20000;9.648964881896973;2;75.99999999997247;[ 2 30]
50000;25.790385961532593;2;75.99999999996939;[ 2 30]
1000;0.47246789932250977;20;78.00000000000156;[ 2 24 30]
10000;4.829257965087891;20;78.00000000001702;[ 2 24 30]
20000;9.5046968460083;20;78.0000000000242;[ 2 24 30]
50000;23.924678087234497;20;77.99999999994506;[ 2 24 30]
