Instance,iteration,time,budget,Obj,interdiction
2,13,25.78752303,20,278,[   0    9  113  115  130  138  148  462  595  889 1370 1386 1733 1987 2110 2295 2462 2641 2873 2890]
2,14,27.8968451,20,278,[   0    9  113  115  130  138  148  462  595  889 1370 1386 1733 1914 1987 2110 2295 2462 2641 2890]
2,15,50.28172088,20,278,[   0    9  113  115  130  138  148  595  889 1370 1386 1914 1987 2110 2295 2462 2641 2881 2885 2890]
2,16,94.46072292,20,278,[   0    9  113  115  130  138  148  595  889 1370 1386 1914 1987 2110 2295 2462 2641 2878 2879 2890]
2,17,183.0022199,20,278,[   9  115  130  138  231  462  595  628 1370 1386 1733 1987 2110 2115 2295 2462 2531 2607 2641 2890]
2,18,184.6699631,20,278,[   0    9  110  115  130  138  231  462  595  628  833 1370 1386 2110 2115 2295 2462 2607 2641 2890]
2,19,361.3365641,20,278,[   9  115  130  231  595  628  833 1270 1386 1987 2295 2462 2490 2497 2607 2641 2680 2737 2822 2890]
2,20,365.1692719,20,278,[   9  113  115  130  148  231  462  595 1386 1890 1987 2295 2462 2496 2497 2607 2641 2737 2822 2890]
2,21,719.4846499,20,278,[   9  115  130  148  231  595 1270 1386 1686 1987 2295 2462 2490 2496 2497 2498 2607 2641 2737 2890]
2,22,1432.582025,20,278,[   0    9  110  115  130  138  139  231  462  595 1270 1386 2295 2462 2554 2607 2641 2759 2795 2890]
2,23,2872.438496,20,278,[   0    9  110  115  130  138  139  231  462  595 1270 1386 2295 2462 2554 2607 2641 2759 2795 2890]
3,1,0.390420914,2,287,[ 224 1471]
3,2,0.928979874,2,257,[   0 3012]
3,3,1.456948996,2,238,[224 447]
3,4,1.978933096,2,238,[209 224]
3,5,2.506759167,2,236,[   0 3012]
3,6,3.739259243,2,236,[   0 3012]
3,7,5.801317215,2,236,[   0 3012]
3,8,9.524138927,2,236,[   0 3012]
3,9,16.79907703,2,234.234375,[   0 3012]
3,10,30.7578721,2,233,[  0 280]
3,11,32.34846997,2,232.53125,[   0 3012]
3,12,61.03199315,2,231.859375,[  0 209]
3,13,63.07436705,2,231.203125,[  0 209]
3,14,121.0518122,2,231.109375,[  0 242]
3,15,236.199872,2,231.0957031,[  0 242]
3,16,472.0640593,2,230.4794922,[  0 242]
3,17,946.513061,2,230.0361938,[  0 209]
3,18,964.3892331,2,229.9971313,[  0 242]
3,19,1939.503189,2,229.1641083,[  0 242]
3,1,0.413097858,20,356,[   0    1    2    3    4    5    6    7    8    9   10   11   12   13   14  224  444 1441 1471 3012]
3,2,0.929198027,20,356,[   0    1    2    3    4    5    6    7  209  224  272  280  444 1441 1471 2600 2636 2954 2979 3012]
3,3,1.445192814,20,356,[   0    1    2  208  209  224  247  272  280  444  447  473  533 1441 1471 2600 2636 2954 2979 3012]
3,4,1.962152958,20,356,[   0   21  208  224  247  272  444  533 1441 1471 2456 2493 2507 2539 2636 2954 2979 2992 2993 3012]
3,5,2.480778933,20,356,[   0   21  208  209  224  247  272  306  444  533 1441 1471 2096 2493 2507 2539 2954 3000 3001 3012]
3,6,2.992839813,20,327,[   0  208  211  224  272  306  444  533 1441 1471 2096 2456 2493 2507 2636 2954 2979 2999 3000 3012]
3,7,3.509980917,20,327,[   0  211  224  247  272  306  444  447  533 1441 1471 2096 2456 2493 2507 2979 2999 3000 3001 3012]
3,8,4.024332047,20,327,[   0  211  224  245  247  272  306  352  444  447 1441 1471 2096 2181 2456 2507 2539 2979 2999 3012]
3,9,4.54677701,20,327,[   0  211  224  245  247  272  306  344  352  444  447 1471 2053 2096 2493 2507 2539 2695 2979 3012]
3,10,5.058482885,20,327,[   0  209  211  224  247  281  283  352  444  447  533 1471 2096 2493 2507 2539 2636 2954 2998 3012]
3,11,5.576387882,20,327,[   0  209  211  224  242  247  283  352  444  447 1471 2096 2456 2507 2539 2636 2695 2954 2979 3012]
3,12,6.105866909,20,327,[   0   21  208  209  211  224  242  247  272  281  283  306  352  444  533 1471 2539 2954 2997 3012]
3,13,6.62864995,20,327,[   0  208  209  211  224  247  283  352  444  533 1445 1471 2096 2493 2507 2539 2636 2695 2979 3012]
3,14,7.147755861,20,327,[   0  209  211  224  247  272  283  352  444  447  849 1471 2096 2493 2507 2539 2695 2954 2979 3012]
3,15,7.669876814,20,327,[   0   21  208  209  211  224  247  272  283  352  444  447 1445 1471 2096 2493 2599 2695 2979 3012]
3,16,8.187477827,20,327,[   0  209  211  224  245  272  283  344  444  447  533  849 1471 2096 2493 2507 2539 2954 2979 3012]
3,17,8.70121479,20,327,[   0  209  211  224  242  245  272  283  306  344  444  447  473 1471 2493 2507 2539 2954 2979 3012]
3,18,9.216500998,20,327,[   0    1   21  208  209  211  224  280  281  283  306  352  444 1445 1471 2427 2493 2599 2979 3012]
3,19,9.731262922,20,327,[   0    1   21  208  209  211  224  247  272  283  352  444  533 1471 2096 2539 2695 2954 2979 3012]
3,20,10.24721885,20,327,[   0  208  209  211  224  245  247  272  283  444  447 1471 2096 2493 2507 2539 2695 2954 2979 3012]
3,21,10.76106,20,327,[   0    1   21  208  209  211  224  272  283  306  352  444  447 1445 1471 2493 2507 2695 2979 3012]
3,22,11.27869582,20,327,[   0   21  209  211  224  242  245  272  281  283  306  444  447  473 1445 1471 2053 2493 2979 3012]
3,23,14.38737988,20,327,[   0    1   21  208  209  211  224  272  283  306  344  352  444  447 1445 1471 2053 2507 2979 3012]
3,24,15.00901484,20,327,[   0   21  208  209  211  224  242  272  283  344  352  444  447  473 1445 1471 2096 2507 2979 3012]
