10:1;2;10;0.0025281906127929688;76.0;[2, 30]
10:2;2;10;0.002560853958129883;277.0;[0, 18]
10:3;2;10;0.0025091171264648438;243.3331607492452;[4, 20]
10:4;2;10;0.0023200511932373047;66.25457865717127;[4, 21]
10:5;2;10;0.0022950172424316406;190.42251139998424;[0, 18]
100:1;2;10;0.03703880310058594;194.68755462530606;[23, 2247]
100:2;2;10;0.04417300224304199;166.35318243672484;[0, 2890]
100:3;2;10;0.045156240463256836;203.77846923449889;[0, 3012]
100:4;2;10;0.034294843673706055;140.81254447520817;[0, 1685]
100:5;2;10;0.029540061950683594;126.45808870563891;[0, 1]
