,iiter,emptycol,total_time,b,ObjVal,LB,x_sol,Kbar,K,Ins
125,-1,,70.35309076309204,10,277.5882263183594,276.7155075073242,[  0   2  17  57  75 100 109 110 125 130],0,323,32
126,-1,,3.5795891284942627,10,229.0,229.0,[  0   6  42  43  48  71 100 106 112 125],0,4,18
127,-1,,0.4415700435638428,10,54.0,54.0,[ 0  1  2  3  4  5  6  7  8 11],0,1,24
128,-1,,54.167322874069214,10,173.3951515359804,173.31311075109988,[  0   2  29  50  61  63  64 110 112 120],0,188,149
129,-1,,1.886103868484497,10,323.0,323.0,[ 0  1  8 13 45 65 67 88 89 97],0,3,30
130,-1,,731.3999152183533,10,293.46245321678,292.020927909296,[  3   5  16  34  46  51  66  82 112 127],0,2610,31
131,-1,,0.4765610694885254,10,174.0,174.0,[ 0  1  2  3  4  5  6  7 13 78],0,1,148
132,-1,,4.261500835418701,10,216.0,214.5,[  1   3   4  20  68  98 100 107 127 136],0,7,25
133,-1,,90.13237690925598,10,232.51626801490784,231.68906950950625,[  0   1   2  33  34  38  39  51  96 132],0,414,19
134,-1,,5.159121990203857,10,268.0,267.0,[  2  43  47  49  61  63  65  85  96 114],0,16,21
135,-1,,0.438525915145874,10,171.0,171.0,[  0   1   2   3   4   5   6   7  98 112],0,1,35
136,-1,,3.2286038398742676,10,194.0,193.75,[ 0  1  2 10 27 32 48 52 65 98],0,4,34
137,-1,,1.7474300861358645,10,320.0,320.0,[  1  15  34  41  46  68  86  99 104 114],0,2,20
138,-1,,11.878373146057127,10,282.0,281.9443359375,[  0   1  30  40  46  48  70  95  96 115],0,90,36
139,-1,,4.831778049468994,10,316.72265625,316.671875,[  0   9  14  38  39  43  46  68 124 129],0,5,22
140,-1,,1.810962200164795,10,260.0,260.0,[  0   1   2   3  35  76  86 112 120 122],0,3,23
