,iiter,total_time,b,ObjVal,LB,x_sol,Kbar,K,Ins
0,-1,2006.2541739940643,10,216.0575349032879,214.29516077041623,[  1  16  75  80  95  99 112 115 130 206],0,7173,48
1,-1,5.986317157745361,10,240.375,240.35546875,[  2  38  71  72  74  88 102 112 199 216],0,13,11
2,-1,40.46130299568176,10,200.93418884277344,199.54568481445312,[  1   3  29  44  46 107 145 160 184 209],0,193,12
3,-1,78.36739826202393,10,359.38671302795416,357.00210762023926,[  1  56  67  84  96 102 146 153 155 158],0,336,13
4,-1,353.34436225891113,10,332.32565784454346,329.460574388504,[  2   6  48  54  55 101 113 171 183 202],0,2062,16
5,-1,919.8443930149078,10,220.6752338409424,218.58126592636108,[  1   2  65  81  94  95  96 106 223 237],0,4258,8
6,-1,218.10016512870789,10,279.5859122276307,277.42100715637207,[  0   2  59  96 141 171 173 211 233 242],0,966,28
7,-1,0.8521199226379395,10,182.0,182.0,[  0   1   2   3 112 114 141 164 203 212],0,1,9
8,-1,927.3592610359192,10,276.11546063423157,274.2204910516739,[  0   2  29  57  81 105 129 136 148 150],0,5747,4
9,-1,12.794880867004396,10,282.84429931640625,282.6855926513672,[ 26  56  77 130 148 188 192 201 204 216],0,41,19
10,-1,1.101181983947754,10,205.0,205.0,[  0   1   2   3  84 102 117 128 137 151],0,4,5
11,-1,0.4343838691711426,10,45.0,45.0,[ 0  1  2  3  4  5  6  7  8 11],0,1,7
12,-1,1847.7441437244415,10,264.383682154119,262.30448991805315,[  1   2  33  55  57  80 120 150 154 227],0,9505,27
13,-1,2763.64768576622,10,348.93706357479095,346.02068984508514,[  1   2   4  52  73  87 132 169 209 210],0,8950,33
14,-1,2.7883448600769043,10,344.0,327.25,[  0   4  14  15  33  86 107 171 209 214],0,2,6
15,-1,332.7447679042816,10,264.50443309545517,261.87719267606735,[  0   1  23  26  58  60  62  73 171 232],0,1303,36
16,-1,590.9477279186249,10,268.90235555171967,266.6974892616272,[  2  36  50  60  80  86 110 154 160 185],0,2480,37
17,-1,1.0781471729278564,10,170.0,169.197265625,[ 0  1  2  3  4  5  6  7  8 53],0,10,3
18,-1,0.423513650894165,10,388.0,388.0,[  0   1   2   3   4   5   6 110 130 200],0,1,1
19,-1,165.0198118686676,10,352.4322762489319,349.630087852478,[  0   2   3  59  67  75  76  87 211 226],0,974,20
