,iiter,emptycol,total_time,b,ObjVal,LB,x_sol,Kbar,K,Ins
0,-1,,156.91813397407532,10,475.9202731847763,474.8210514783859,[  0   1   2 100 199 229 234 276 282 328],0,311,43
1,-1,,2.920579671859741,10,286.0,284.5,[  0   1  90  93  98 257 327 361 377 380],0,1,57
2,-1,,0.9538581371307372,10,171.0,171.0,[  0   1   4 268 276 279 293 314 324 356],0,1,80
3,-1,,2.0479800701141357,10,190.0,190.0,[  0  91  96 260 321 329 348 349 350 355],0,2,94
4,-1,,17.99230194091797,10,242.630859375,240.416015625,[  0   1  26  68  73  96  97 253 258 270],0,42,132
5,-1,,374.1917860507965,10,226.97135363519192,226.8501650467515,[  0   5   8  12  96 118 146 154 212 287],0,1306,2
6,-1,,372.70575618743896,10,226.97135363519192,226.8501650467515,[  0   5   8  12  96 118 146 154 212 287],0,1306,2
7,-1,,100.99564385414124,10,226.9747734069824,225.44852542877197,[  0   5   8  12  96 118 146 154 212 287],0,485,2
8,-1,,0.4443140029907226,10,418.0,418.0,[  0   1   2   3   4  33  59 127 140 143],0,1,127
9,-1,,71.06020998954773,10,167.49217987060547,166.07173538208008,[  0  60  65  76  97 178 241 242 271 380],0,218,133
10,-1,,7.094676971435547,10,310.0,309.953125,[  0   2  15  18 194 218 246 262 294 305],0,19,56
11,-1,,0.4433999061584472,10,161.0,161.0,[  0   1   2   3   4   5   6   8  21 344],0,1,42
12,-1,,37.759681940078735,10,313.1842768192291,313.10124707221985,[  0   2 132 153 155 176 254 288 321 340],0,155,40
13,-1,,145.33717489242554,10,282.50614976882935,281.2782611846924,[  0   3   8  48  80 267 270 272 320 338],0,296,83
14,-1,,70.66763591766357,10,245.0,242.6451416015625,[  3  62 133 145 155 200 221 224 287 303],0,276,119
15,-1,,12.236101865768433,10,224.0,224.0,[  0   1   2  37  68 118 135 163 329 356],0,19,125
16,-1,,1111.335051059723,10,241.61669754981995,239.38968342542648,[  0   7  10  25 108 167 209 234 328 344],0,4702,131
17,-1,,0.4452509880065918,10,382.0,382.0,[  0   1   2   3   4   5   6   7   8 312],0,1,130
18,-1,,687.9873278141022,10,189.81423685143815,187.8699402632192,[  1  64  87 224 239 261 301 313 314 346],0,1091,124
19,-1,,37.22945690155029,10,220.3812255859375,219.58990478515625,[  1  20  22 151 152 214 279 306 320 347],0,95,82
20,-1,,12.380900144577026,10,166.0,165.9736328125,[  2   7 204 256 262 351 366 375 378 379],0,38,96
21,-1,,0.4300310611724853,10,60.0,60.0,[ 0  1  2  3  4  5  6  7  8 29],0,1,55
22,-1,,3.3449878692626953,10,176.88671875,176.66015625,[  0   1   2   3   4   5   7 260 279 330],0,6,69
23,-1,,13.58584713935852,10,220.0,220.0,[  3  14 189 191 198 204 252 277 300 317],0,47,79
24,-1,,896.5934910774231,10,321.15509960451163,320.117881889455,[  0   5  72  73  88 158 159 195 347 358],0,1562,92
25,-1,,214.87100195884705,10,321.156453371048,319.0282690525055,[  0   5  72  73  88 158 159 195 347 358],0,796,92
26,-1,,3.7799108028411865,10,409.0,409.0,[  0   1  21  22  35  41  91  93 185 204],0,7,86
27,-1,,0.4375181198120117,10,117.0,117.0,[  0   1   2   3   4   5   6   7   8 317],0,1,120
28,-1,,0.4430859088897705,10,240.0,239.0,[ 0  1  2  3  4  5  6 41 57 84],0,1,134
29,-1,,24.312639951705933,10,357.8125,354.98193359375,[  0   1   3  16 181 241 242 260 297 300],0,38,109
30,-1,,13.408163070678713,10,242.7477874755859,240.84439086914065,[  0   1   2   4   9  26 159 192 258 290],0,21,135
31,-1,,5.49926495552063,10,172.0,172.0,[  0   2  12  71 131 190 214 304 311 312],0,7,121
32,-1,,875.7623200416565,10,189.0,188.9018592834473,[  0   7  72 187 257 264 292 327 397 413],0,2513,93
33,-1,,790.5116069316864,10,189.0,188.4786376953125,[  0   7  72 113 205 264 292 327 397 413],0,2513,93
34,-1,,0.4481983184814453,10,40.0,40.0,[0 1 2 3 4 5 6 7 8 9],0,1,78
35,-1,,5.872673988342285,10,144.0,144.0,[  6  93  94 143 163 174 184 207 222 245],0,8,50
36,-1,,752.4529070854187,10,171.2837559506297,170.42953276634216,[  8  79  81  85 233 288 335 339 340 360],0,1373,46
37,-1,,334.5169196128845,10,171.28492069244385,169.89946937561035,[  8  79  81  85 233 288 335 339 340 360],0,1228,46
38,-1,,9.708072900772097,10,266.0,266.0,[  6   7  69  83 215 293 316 349 350 352],0,27,85
39,-1,,0.4300460815429687,10,77.0,77.0,[ 0  1  2  3  4  5  6  7  8 55],0,1,91
40,-1,,566.4735660552979,10,177.97510260343552,176.45091459155083,[  0   1   2   4   9  48 279 339 359 376],0,1450,137
41,-1,,3.140148162841797,10,304.0,304.0,[  0   1  95 106 184 198 209 289 333 338],0,11,123
42,-1,,4.206866979598999,10,216.375,215.5625,[  0   2   8   9  40 114 143 223 281 309],0,7,6
43,-1,,4.243483781814575,10,216.375,215.5625,[  0   2   8   9  40 114 143 223 281 309],0,7,6
44,-1,,2.8327386379241943,10,145.0,145.0,[  0  21 156 174 373 374 375 376 378 380],0,7,7
45,-1,,2.7601351737976074,10,145.0,145.0,[  0  21 156 174 373 374 375 376 378 380],0,7,7
46,-1,,1109.812433719635,10,152.98912715911865,151.83431041240692,[  0  11  21  63 105 112 148 263 292 294],0,9394,122
47,-1,,3.2709786891937256,10,261.4375,261.25,[ 76 193 237 256 277 285 287 311 333 341],0,3,136
48,-1,,192.8564600944519,10,251.50368310231715,251.06978164520115,[  0   4  12 144 154 213 274 281 309 332],0,390,90
49,-1,,2.020131826400757,10,89.0,89.0,[  0   3   9 126 136 190 262 290 304 326],0,4,47
50,-1,,42.83436989784241,10,244.73668098449707,242.37463188171387,[  0   1   2   6  64  65 112 156 172 310],0,186,145
51,-1,,2.7826502323150635,10,161.0,161.0,[ 0  1  2  3  4  5 13 64 65 87],0,5,144
52,-1,,8.294023752212524,10,204.77587890625,204.673828125,[  0  46  72 118 120 216 233 238 249 269],0,9,150
53,-1,,16.23660111427307,10,288.9455261230469,288.8989562988281,[  1   2 137 139 165 183 218 222 283 297],0,28,35
54,-1,,16.524778366088867,10,288.9455261230469,288.8989562988281,[  1   2 137 139 165 183 218 222 283 297],0,28,35
55,-1,,3.247431993484497,10,88.0,88.0,[  0   1   2   3   4   5   6   7 210 351],0,6,21
56,-1,,3.417354106903076,10,88.0,88.0,[  0   1   2   3   4   5   6   7 210 351],0,6,21
57,-1,,16.663557052612305,10,276.0,275.4140625,[  0   1   3   8  23 126 170 257 259 306],0,49,37
