,iiter,total_time,b,ObjVal,LB,x_sol,Kbar,K,Ins
0,-1,704.2142019271851,10,245.0895503759384,243.35670018196103,[138 143 162 167 197 218 219 244 273 293],0,3562,110
1,-1,3.8480260372161865,10,216.375,215.5625,[  0   2   8   9  40 114 143 223 281 309],0,7,6
2,-1,7.789618968963623,10,145.0,145.0,[  0  21 132 156 174 374 375 376 377 378],0,21,7
3,-1,1546.668538093567,10,232.51311060786247,230.39798706769943,[  0   5  55 103 104 182 222 233 328 375],0,5148,113
4,-1,103.07663106918336,10,226.9747734069824,225.44852542877197,[  0   5   8  12  96 118 146 154 212 287],0,485,2
5,-1,810.3963572978973,10,211.22507631778717,209.6400136947632,[  2   8   9 229 270 273 285 302 309 327],0,3179,73
6,-1,1030.003345966339,10,171.6717300415039,170.17063879966736,[  0  26  69  98 163 181 182 193 211 337],0,3448,98
7,-1,0.4470241069793701,10,102.0,102.0,[  0   1   2   3   4   5   6   7 206 222],0,1,14
8,-1,103.59492993354796,10,212.89697265625,211.13890838623047,[  0   1 104 138 172 174 178 212 315 339],0,491,15
9,-1,0.4328699111938476,10,298.0,298.0,[ 0  1  2  3  4  5  6  7  8 27],0,1,17
10,-1,16.730743885040283,10,153.0,153.0,[  0   4  29 111 246 268 311 384 388 390],0,81,16
11,-1,0.437997817993164,10,252.0,252.0,[  0   1   2   3   4   5   6   7  81 141],0,1,13
12,-1,29.855562925338745,10,323.0,323.0,[  0   4  38  42 216 265 278 317 330 345],0,129,10
13,-1,1.633997917175293,10,88.0,88.0,[  0   1   2   3   4   5   6   7 210 351],0,6,21
14,-1,1400.5149250030518,10,278.9201402068138,276.4945932626724,[  0   1  33 170 172 183 199 259 271 300],0,3533,26
15,-1,405.5727481842041,10,276.79723131656647,275.01407277584076,[  0   1   3  21  60 144 178 276 309 319],0,1000,18
16,-1,172.59921789169312,10,315.6719009876251,313.0334703922272,[  5  37  38 115 206 214 291 299 308 323],0,616,30
17,-1,222.7140190601349,10,189.0,187.28156280517575,[  7  72  89 205 248 264 327 397 413 426],0,1054,93
18,-1,333.6360340118408,10,171.28492069244385,169.89946937561035,[  8  79  81  85 233 288 335 339 340 360],0,1228,46
