1;0.008142948150634766;2;-1e+100;192.0;[1 2]
2;0.017976999282836914;2;192.0;278.0;[ 4 15]
3;0.021017074584960938;2;192.0;242.0;[ 4 13]
4;0.05701184272766113;2;192.0;239.31250000000003;[ 4 13]
5;0.09325194358825684;2;192.0;239.1015625;[ 4 13]
6;0.11628413200378418;2;192.0;239.06445312500003;[ 4 13]
7;0.14847612380981445;2;192.0;239.037109375;[ 4 13]
8;0.18079400062561035;2;192.0;239.01513671875;[ 4 13]
9;0.21167492866516113;2;239.01513671875;239.0151367427515;[ 4 20]
10;0.46585988998413086;2;239.0151367427515;243.0;[0 4]
11;0.4785029888153076;2;239.0151367427515;243.0;[ 4 20]
12;0.49127697944641113;2;239.0151367427515;239.640625;[0 4]
13;0.6283061504364014;2;239.0151367427515;239.62548828124997;[0 4]
14;0.6721489429473877;2;239.62548828124997;241.13378906250009;[ 4 20]
15;0.6877107620239258;2;239.62548828124997;241.13330078125;[ 4 20]
-1;0.8306751251220703;2;241.13330078125;241.13330078125;[ 4 20]
