1000;0.7107880115509033;2;276.9999999999933;[ 0 18]
10000;7.9298996925354;2;277.0000000000258;[ 0 18]
20000;20.751695156097412;2;276.99999999992104;[ 0 18]
50000;76.26738405227661;2;276.9999999998779;[ 0 18]
1000;0.6419932842254639;2;276.9999999999933;[ 0 18]
10000;7.714392900466919;2;277.0000000000258;[ 0 18]
20000;20.884055852890015;2;276.99999999992104;[ 0 18]
50000;76.4891951084137;2;276.9999999998779;[ 0 18]
1000;0.547555685043335;20;277.99999999999886;[ 0 14 18]
10000;5.484702110290527;20;278.0000000000685;[ 0 14 18]
20000;10.843677997589111;20;278.0000000000561;[ 0 14 18]
50000;27.243556261062622;20;278.0000000001145;[ 0 14 18]
