1;0.402101993560791;10;370.0;[ 0  1  2  3  4  5  6  7  8 76];1;1
2;0.8332626819610596;10;370.0;[  0   1   2   3   4   7  31  76 165 171];1;1
3;1.276404857635498;10;370.0;[  0   1   2   3   4   7  31  76 165 171];2;2
4;1.7876617908477783;10;360.875;[  0   1   2   3   4   7  31  76 165 171];4;4
5;2.3687946796417236;10;351.75;[  0   1   2   3   4   7  31  76 165 171];8;8
6;3.133488893508911;10;351.75;[  0   1   2   3   4   7  31  76 165 171];16;16
7;4.242416858673096;10;351.75;[  0   1   2   3   7  31  63  76 165 171];30;31
8;5.973191738128662;10;351.078125;[  0   1   2   7  31  43  63  76 165 171];52;57
9;8.788763761520386;10;350.48974609375;[  0   1   2   7  31  43  63  76 118 165];90;102
10;13.329301834106445;10;349.91796875;[  0   1   2   7  31  43  63  76 118 165];146;175
11;20.678789854049683;10;349.34515380859375;[  0   1   2   7  31  43  63  76 118 165];240;295
12;32.20678496360779;10;348.9232940673828;[  0   1   2   7  31  43  63  76 107 165];402;496
13;33.20189166069031;10;348.79066467285156;[  0   1   2   7  31  43  63  76 107 165];496;496
14;54.094871044158936;10;348.33331298828125;[  0   1   2   7  31  43  63  76 107 165];676;834
15;88.02542161941528;10;347.97447967529297;[  0   1   2   7  31  43  63  76 107 165];1096;1382
16;145.4627959728241;10;347.76467514038086;[  0   1   2   7  31  43  63  76 107 165];1792;2278
17;241.418625831604;10;347.6257281303406;[  0   1   2   7  31  43  63  76 107 165];2930;3743
18;403.5046079158783;10;347.5308586359024;[  0   1   2   7  31  43  63  76 107 165];4754;6120
19;679.0846388339996;10;347.46875154972076;[  0   1   2   7  31  43  63  76 107 165];7692;9966
20;1156.6780247688293;10;347.4281587600708;[  0   1   2   7  31  43  63  76 107 165];12412;16172
21;1998.8046338558197;10;347.40041825175285;[  0   1   2   7  31  43  63  76 107 165];19910;26127
22;3561.056765794754;10;347.38018790632486;[  0   1   2   7  31  43  63  76 107 165];31812;42033
