1;0.37954092025756836;10;420.0;[ 0  1  2  3  4  5 37 69 90 93];1;1
2;0.7791509628295898;10;420.0;[  0   2  37  69  90  93 135 144 162 166];1;1
3;1.21933913230896;10;420.0;[  0  37  38  69  90  93  99 144 157 158];2;2
4;1.6243138313293457;10;420.0;[  0  13  37  69  90  93  99 144 155 156];2;2
5;2.031139850616455;10;420.0;[  0  13  37  69  90  93  99 110 133 166];2;2
6;2.5457077026367188;10;418.8125;[  0   2  37  38  69  90  93  99 133 162];4;4
7;3.171480894088745;10;418.1875;[  0   2  37  38  69  90  93  99 133 162];8;8
8;4.019942998886108;10;417.5703125;[  0   2  37  69  90  93  99 110 133 162];16;16
9;5.324095010757446;10;417.42578125;[  0   2  37  69  90  93  99 110 133 162];30;31
10;7.3902270793914795;10;417.33203125;[  0   2  37  69  90  93  99 110 133 162];52;57
11;10.616793870925903;10;417.1015625;[  0   2  37  69  90  93  99 110 133 162];86;100
12;15.704506874084473;10;416.887939453125;[  0   2  37  69  90  93  99 110 133 162];138;169
13;24.06450891494751;10;416.7261962890625;[  0   2  37  69  90  93  99 110 133 162];222;280
14;37.396644830703735;10;416.6164855957031;[  0   2  37  69  90  93  99 110 133 162];354;457
15;58.62881588935852;10;416.53541564941406;[  0   2  37  69  90  93  99 110 133 162];552;733
16;91.90049695968628;10;416.4759826660156;[  0   2  37  69  90  93  99 110 133 162];844;1155
17;143.56853103637695;10;416.4384021759033;[  0   2  37  69  90  93  99 110 133 162];1264;1787
18;223.00142788887024;10;416.4131546020508;[  0   2  37  69  90  93  99 110 133 162];1862;2718
19;345.0492799282074;10;416.3949842453003;[  0   2  37  69  90  93  99 110 133 162];2702;4069
20;530.7517290115356;10;416.3822762966156;[  0   2  37  69  90  93  99 110 133 162];3810;5974
21;801.9244899749756;10;416.373759329319;[  0   2  37  69  90  93  99 110 133 162];5148;8548
22;1190.5655119419098;10;416.3682866692543;[  0   2  37  69  90  93  99 110 133 162];6654;11875
23;1710.6754131317139;10;416.3650572001934;[  0   2  37  69  90  93  99 110 133 162];8152;15951
24;2395.0685420036316;10;416.36323434859514;[  0   2  37  69  90  93  99 110 133 162];9486;20694
25;3266.2343628406525;10;416.36225279420614;[  0   2  37  69  90  93  99 110 133 162];10476;25932
